SKU,Barkod,Kategori,Ürün,Marka,Ty Ürün Adi,Fiziki Magaza Fiyati,Komisyon Orani,Komisyon Tutari,Komisyon Sonrasi,Aktif/Pasif,KDV,KDV Dahil Satis Fiyati,Frictions,Marketplace Açiklama
ZYT-REC-002,2990000001001,Reçel,Erik Reçeli 700 g,Zeytuni,Mevsimlik Erik Reçeli 700 g,600,23.75%,186.8852459,600.00,PASIF,1%, ?786.89 ,,
ZYT-REC-004,2990000001003,Reçel,Kiraz Reçeli 700 g,Zeytuni,Mevsimlik Kiraz Reçeli 700 g,600,23.75%,186.8852459,600.00,PASIF,1%, ?786.89 ,,
ZYT-REC-007,2990000001006,Reçel,Patlican Reçeli 700 g,Zeytuni,Ev Yapimi Patlican Reçeli 700 g,650,23.75%,202.4590164,650.00,PASIF,1%, ?852.46 ,,
ZYT-REC-008,2990000001007,Reçel,Kayisi Reçeli 700 g,Zeytuni,Mevsimlik Kayisi Reçeli 700 g,600,23.75%,186.8852459,600.00,PASIF,1%, ?786.89 ,,
ZYT-REC-009,2990000001008,Reçel,Nar Reçeli 700 g,Zeytuni,Ev Yapimi Nar Reçeli 700 g,600,23.75%,186.8852459,600.00,PASIF,1%, ?786.89 ,,
ZYT-REC-012,2990000001011,Reçel,Visne Reçeli 700 g,Zeytuni,Mevsimlik Visne Reçeli 700 g,600,23.75%,186.8852459,600.00,PASIF,1%, ?786.89 ,,
ZYT-REC-013,2990000001012,Reçel,Ayva Reçeli 700 g,Zeytuni,Mevsimlik Ayva Reçeli 700 g,600,23.75%,186.8852459,600.00,PASIF,1%, ?786.89 ,,
ZYT-REC-014,2990000001013,Reçel,Ceviz Reçeli 700 g,Zeytuni,Ev Yapimi Ceviz Reçeli 700 g,700,23.75%,218.0327869,700.00,PASIF,1%, ?918.03 ,,
ZYT-REC-015,2990000001014,Reçel,Patates Reçeli 700 g,Zeytuni,Ev Yapimi Patates Reçeli 700 g,650,23.75%,202.4590164,650.00,PASIF,1%, ?852.46 ,,
ZYT-MRM-001,2990000001200,Marmelat,Aliç Marmelati 700 g,Zeytuni,Ev Yapimi Aliç Marmelati 700 g,550,23.75%,171.3114754,550.00,PASIF,1%, ?721.31 ,,
ZYT-MRM-002,2990000001201,Marmelat,Kizilcik Marmelati 700 g,Zeytuni,Ev Yapimi Kizilcik Marmelati 700 g,650,23.75%,202.4590164,650.00,AKTIF,1%, ?852.46 ,,
ZYT-MRM-003,2990000001202,Marmelat,Kusburnu Marmelati 700 g,Zeytuni,Ev Yapimi Kusburnu Marmelati 700 g,650,23.75%,202.4590164,650.00,AKTIF,1%, ?852.46 ,,
ZYT-TRS-001,2990000001400,Tursu,Karnabahar Tursusu 0 g,Zeytuni,Ev Yapimi Karnabahar Tursusu 0 g,300,23.75%,93.44262295,300.00,PASIF,1%, ?393.44 ,,
ZYT-TRS-002,2990000001401,Tursu,Bamya Tursusu 0 g,Zeytuni,Ev Yapimi Bamya Tursusu 0 g,350,23.75%,109.0163934,350.00,PASIF,1%, ?459.02 ,,
ZYT-TRS-003,2990000001402,Tursu,Karisik Tursu 0 g,Zeytuni,Ev Yapimi Karisik Tursu 0 g,300,23.75%,93.44262295,300.00,PASIF,1%, ?393.44 ,,
ZYT-TRS-004,2990000001403,Tursu,Aci Biber Tursusu 0 g,Zeytuni,Ev Yapimi Aci Biber Tursusu 0 g,300,23.75%,93.44262295,300.00,PASIF,1%, ?393.44 ,,
ZYT-TRS-005,2990000001404,Tursu,Pancar Tursusu 0 g,Zeytuni,Ev Yapimi Pancar Tursusu 0 g,300,23.75%,93.44262295,300.00,PASIF,1%, ?393.44 ,,
